    E, kcal/mol    D, mol/kcal         W1->P0
          251.5    7.16268e+08    2.69019e+12
            252     7.2085e+08    2.69177e+12
          252.5    7.25453e+08    2.69334e+12
            253    7.30075e+08    2.69492e+12
          253.5    7.34719e+08    2.69648e+12
            254    7.39386e+08    2.69804e+12
          254.5    7.44073e+08    2.69959e+12
            255    7.48781e+08    2.70115e+12
          255.5    7.53511e+08    2.70269e+12
            256     7.5826e+08    2.70423e+12
          256.5    7.63034e+08    2.70576e+12
            257    7.67828e+08    2.70729e+12
          257.5    7.72643e+08    2.70882e+12
            258    7.77479e+08    2.71034e+12
          258.5    7.82337e+08    2.71185e+12
            259    7.87216e+08    2.71337e+12
          259.5    7.92118e+08    2.71487e+12
            260    7.97041e+08    2.71637e+12
          260.5    8.01984e+08    2.71787e+12
            261    8.06952e+08    2.71936e+12
          261.5    8.11939e+08    2.72085e+12
            262    8.16951e+08    2.72233e+12
          262.5    8.21985e+08    2.72381e+12
            263    8.27038e+08    2.72528e+12
          263.5    8.32115e+08    2.72675e+12
            264    8.37216e+08    2.72821e+12
          264.5    8.42337e+08    2.72968e+12
            265    8.47481e+08    2.73113e+12
          265.5    8.52649e+08    2.73258e+12
            266    8.57835e+08    2.73403e+12
          266.5    8.63046e+08    2.73547e+12
            267    8.68281e+08    2.73691e+12
          267.5    8.73539e+08    2.73833e+12
            268    8.78818e+08    2.73976e+12
          268.5    8.84119e+08    2.74119e+12
            269    8.89442e+08    2.74261e+12
          269.5    8.94791e+08    2.74403e+12
            270    9.00161e+08    2.74544e+12
          270.5    9.05555e+08    2.74684e+12
            271    9.10972e+08    2.74824e+12
          271.5     9.1641e+08    2.74965e+12
            272    9.21874e+08    2.75104e+12
          272.5    9.27361e+08    2.75243e+12
            273     9.3287e+08    2.75381e+12
          273.5    9.38402e+08    2.75519e+12
            274    9.43959e+08    2.75657e+12
          274.5    9.49537e+08    2.75795e+12
            275    9.55141e+08    2.75931e+12
          275.5    9.60767e+08    2.76068e+12
            276    9.66416e+08    2.76204e+12
          276.5     9.7209e+08     2.7634e+12
            277    9.77787e+08    2.76475e+12
          277.5    9.83508e+08     2.7661e+12
            278    9.89255e+08    2.76744e+12
          278.5    9.95024e+08    2.76879e+12
            279    1.00082e+09    2.77012e+12
          279.5    1.00663e+09    2.77145e+12
            280    1.01248e+09    2.77278e+12
          280.5    1.01834e+09    2.77411e+12
            281    1.02423e+09    2.77543e+12
          281.5    1.03015e+09    2.77675e+12
            282    1.03608e+09    2.77806e+12
          282.5    1.04205e+09    2.77937e+12
            283    1.04803e+09    2.78068e+12
          283.5    1.05405e+09    2.78197e+12
            284    1.06008e+09    2.78327e+12
          284.5    1.06614e+09    2.78457e+12
            285    1.07223e+09    2.78586e+12
          285.5    1.07834e+09    2.78715e+12
            286    1.08447e+09    2.78843e+12
          286.5    1.09064e+09    2.78971e+12
            287    1.09682e+09    2.79098e+12
          287.5    1.10303e+09    2.79225e+12
            288    1.10927e+09    2.79352e+12
          288.5    1.11553e+09    2.79479e+12
            289    1.12181e+09    2.79604e+12
          289.5    1.12812e+09     2.7973e+12
            290    1.13446e+09    2.79855e+12
          290.5    1.14082e+09    2.79981e+12
            291    1.14721e+09    2.80105e+12
          291.5    1.15362e+09     2.8023e+12
            292    1.16006e+09    2.80354e+12
          292.5    1.16652e+09    2.80477e+12
            293    1.17301e+09      2.806e+12
          293.5    1.17953e+09    2.80723e+12
            294    1.18607e+09    2.80846e+12
          294.5    1.19263e+09    2.80968e+12
            295    1.19923e+09     2.8109e+12
          295.5    1.20585e+09    2.81211e+12
            296    1.21249e+09    2.81332e+12
          296.5    1.21916e+09    2.81453e+12
            297    1.22586e+09    2.81574e+12
          297.5    1.23258e+09    2.81693e+12
            298    1.23933e+09    2.81813e+12
          298.5    1.24611e+09    2.81933e+12
            299    1.25291e+09    2.82052e+12
          299.5    1.25974e+09     2.8217e+12
            300    1.26659e+09    2.82289e+12
          300.5    1.27348e+09    2.82407e+12
            301    1.28038e+09    2.82525e+12
          301.5    1.28732e+09    2.82642e+12
            302    1.29428e+09    2.82759e+12
          302.5    1.30127e+09    2.82876e+12
            303    1.30829e+09    2.82992e+12
          303.5    1.31533e+09    2.83109e+12
            304     1.3224e+09    2.83224e+12
          304.5     1.3295e+09     2.8334e+12
            305    1.33662e+09    2.83455e+12
          305.5    1.34377e+09     2.8357e+12
            306    1.35095e+09    2.83684e+12
          306.5    1.35816e+09    2.83799e+12
            307    1.36539e+09    2.83913e+12
          307.5    1.37265e+09    2.84026e+12
            308    1.37994e+09     2.8414e+12
          308.5    1.38726e+09    2.84253e+12
            309     1.3946e+09    2.84365e+12
          309.5    1.40197e+09    2.84478e+12
            310    1.40937e+09     2.8459e+12
          310.5     1.4168e+09    2.84701e+12
            311    1.42425e+09    2.84813e+12
          311.5    1.43174e+09    2.84924e+12
            312    1.43925e+09    2.85035e+12
          312.5    1.44679e+09    2.85146e+12
            313    1.45435e+09    2.85256e+12
          313.5    1.46195e+09    2.85366e+12
            314    1.46957e+09    2.85475e+12
          314.5    1.47722e+09    2.85585e+12
            315    1.48491e+09    2.85694e+12
          315.5    1.49261e+09    2.85803e+12
            316    1.50035e+09    2.85911e+12
          316.5    1.50812e+09    2.86019e+12
            317    1.51591e+09    2.86127e+12
          317.5    1.52374e+09    2.86235e+12
            318    1.53159e+09    2.86342e+12
          318.5    1.53947e+09    2.86449e+12
            319    1.54738e+09    2.86556e+12
          319.5    1.55532e+09    2.86662e+12
            320    1.56329e+09    2.86769e+12
          320.5    1.57129e+09    2.86874e+12
            321    1.57931e+09     2.8698e+12
          321.5    1.58737e+09    2.87085e+12
            322    1.59545e+09     2.8719e+12
          322.5    1.60357e+09    2.87295e+12
            323    1.61171e+09      2.874e+12
          323.5    1.61988e+09    2.87504e+12
            324    1.62809e+09    2.87608e+12
          324.5    1.63632e+09    2.87712e+12
            325    1.64458e+09    2.87815e+12
