========================================
CH3+OHtripletabs_P8_Energy_1_34.9759.out
--
T,R->P8
240.0,4.64237e-17
250.0,6.60297e-17
260.0,9.24972e-17
270.0,1.27685e-16
280.0,1.73788e-16
290.0,2.33365e-16
300.0,3.09358e-16
310.0,4.05108e-16
320.0,5.2437e-16
330.0,6.71323e-16
340.0,8.50574e-16
350.0,1.06716e-15
360.0,1.32654e-15
370.0,1.63462e-15
380.0,1.99768e-15
390.0,2.42245e-15
400.0,2.91602e-15
410.0,3.48588e-15
420.0,4.13987e-15
430.0,4.88619e-15
440.0,5.73337e-15
450.0,6.69024e-15
460.0,7.76594e-15
470.0,8.96988e-15
480.0,1.03117e-14
490.0,1.18014e-14
500.0,1.34491e-14
510.0,1.5265e-14
520.0,1.72599e-14
530.0,1.94443e-14
540.0,2.18291e-14
550.0,2.44255e-14
560.0,2.72445e-14
570.0,3.02975e-14
580.0,3.35958e-14
590.0,3.7151e-14
600.0,4.09746e-14
610.0,4.50784e-14
620.0,4.9474e-14
630.0,5.41733e-14
640.0,5.91881e-14
650.0,6.45304e-14
660.0,7.02121e-14
670.0,7.62452e-14
680.0,8.26416e-14
690.0,8.94135e-14
700.0,9.65729e-14
800.0,1.92132e-13
900.0,3.39656e-13
1000.0,5.50884e-13
1100.0,8.37069e-13
1200.0,1.20883e-12
1300.0,1.67608e-12
1400.0,2.24798e-12
1500.0,2.93294e-12
1600.0,3.73864e-12
1700.0,4.67208e-12
1800.0,5.7396e-12
1900.0,6.94696e-12
2000.0,8.29938e-12
2100.0,9.80159e-12
2200.0,1.14579e-11
2300.0,1.32721e-11
2400.0,1.52478e-11
2500.0,1.73882e-11
2600.0,1.96963e-11
2700.0,2.21745e-11
2800.0,2.48255e-11
2900.0,2.76514e-11
3000.0,3.06542e-11
3100.0,3.38358e-11
3200.0,3.71978e-11
3300.0,4.07419e-11
3400.0,4.44695e-11
3500.0,4.83819e-11
3600.0,5.24803e-11
3700.0,5.67659e-11
3800.0,6.12397e-11
3900.0,6.59027e-11
========================================
CH3+OHtripletabs_B1_VariationalSymmetryFactor_1_0.1.out
--
T,R->P8
200.0,5.39586e-18
210.0,8.60812e-18
220.0,1.34468e-17
230.0,2.05764e-17
240.0,3.086e-17
250.0,4.53925e-17
260.0,6.55347e-17
270.0,9.29452e-17
280.0,1.2961e-16
