    E, kcal/mol    D, mol/kcal        W1->W2a         W1->P1
            9.6    5.34352e+10    1.29995e+11    5.50383e+12    4.76486e+11
            9.8    5.48243e+10    1.34161e+11    5.52469e+12    5.03869e+11
             10    5.62454e+10    1.38415e+11    5.54552e+12    5.31859e+11
           10.2    5.76993e+10    1.42759e+11    5.56629e+12    5.60283e+11
           10.4    5.91867e+10    1.47192e+11    5.58698e+12    5.89244e+11
           10.6    6.07085e+10    1.51715e+11     5.6076e+12    6.19082e+11
           10.8    6.22649e+10     1.5633e+11    5.62818e+12    6.50015e+11
             11    6.38566e+10    1.61038e+11    5.64873e+12    6.81877e+11
           11.2    6.54844e+10    1.65839e+11    5.66923e+12    7.14637e+11
           11.4     6.7149e+10    1.70735e+11    5.68968e+12    7.48531e+11
           11.6     6.8851e+10    1.75725e+11    5.71009e+12     7.8383e+11
           11.8    7.05916e+10     1.8081e+11    5.73044e+12    8.20414e+11
             12    7.23716e+10     1.8599e+11    5.75071e+12    8.57949e+11
           12.2    7.41915e+10    1.91267e+11    5.77093e+12     8.9635e+11
           12.4    7.60519e+10    1.96642e+11    5.79111e+12    9.35538e+11
           12.6    7.79535e+10    2.02116e+11    5.81126e+12    9.75612e+11
           12.8    7.98972e+10    2.07689e+11    5.83137e+12    1.01698e+12
             13    8.18839e+10    2.13362e+11    5.85143e+12     1.0595e+12
           13.2    8.39149e+10    2.19134e+11    5.87142e+12    1.10285e+12
           13.4     8.5991e+10    2.25006e+11    5.89133e+12    1.14698e+12
           13.6    8.81126e+10     2.3098e+11     5.9112e+12    1.19204e+12
