    E, kcal/mol    D, mol/kcal         W1->P0
            276    9.66416e+08     9.9367e+13
          276.5     9.7209e+08    9.94158e+13
            277    9.77787e+08    9.94645e+13
          277.5    9.83508e+08     9.9513e+13
            278    9.89255e+08    9.95613e+13
          278.5    9.95024e+08    9.96095e+13
            279    1.00082e+09    9.96577e+13
          279.5    1.00663e+09    9.97055e+13
            280    1.01248e+09    9.97534e+13
          280.5    1.01834e+09     9.9801e+13
            281    1.02423e+09    9.98485e+13
          281.5    1.03015e+09    9.98959e+13
            282    1.03608e+09    9.99433e+13
          282.5    1.04205e+09    9.99903e+13
            283    1.04803e+09    1.00037e+14
          283.5    1.05405e+09    1.00084e+14
            284    1.06008e+09    1.00131e+14
          284.5    1.06614e+09    1.00177e+14
            285    1.07223e+09    1.00224e+14
          285.5    1.07834e+09     1.0027e+14
            286    1.08447e+09    1.00316e+14
          286.5    1.09064e+09    1.00362e+14
            287    1.09682e+09    1.00408e+14
          287.5    1.10303e+09    1.00454e+14
            288    1.10927e+09    1.00499e+14
          288.5    1.11553e+09    1.00545e+14
            289    1.12181e+09     1.0059e+14
          289.5    1.12812e+09    1.00635e+14
            290    1.13446e+09    1.00681e+14
          290.5    1.14082e+09    1.00726e+14
            291    1.14721e+09     1.0077e+14
          291.5    1.15362e+09    1.00815e+14
            292    1.16006e+09     1.0086e+14
          292.5    1.16652e+09    1.00904e+14
            293    1.17301e+09    1.00949e+14
          293.5    1.17953e+09    1.00993e+14
            294    1.18607e+09    1.01037e+14
          294.5    1.19263e+09    1.01081e+14
            295    1.19923e+09    1.01125e+14
          295.5    1.20585e+09    1.01168e+14
            296    1.21249e+09    1.01212e+14
          296.5    1.21916e+09    1.01255e+14
            297    1.22586e+09    1.01299e+14
          297.5    1.23258e+09    1.01342e+14
            298    1.23933e+09    1.01385e+14
          298.5    1.24611e+09    1.01428e+14
            299    1.25291e+09    1.01471e+14
          299.5    1.25974e+09    1.01513e+14
            300    1.26659e+09    1.01556e+14
          300.5    1.27348e+09    1.01599e+14
            301    1.28038e+09    1.01641e+14
          301.5    1.28732e+09    1.01683e+14
            302    1.29428e+09    1.01725e+14
          302.5    1.30127e+09    1.01767e+14
            303    1.30829e+09    1.01809e+14
          303.5    1.31533e+09    1.01851e+14
            304     1.3224e+09    1.01892e+14
          304.5     1.3295e+09    1.01934e+14
            305    1.33662e+09    1.01976e+14
          305.5    1.34377e+09    1.02017e+14
            306    1.35095e+09    1.02058e+14
          306.5    1.35816e+09    1.02099e+14
            307    1.36539e+09     1.0214e+14
          307.5    1.37265e+09    1.02181e+14
            308    1.37994e+09    1.02222e+14
          308.5    1.38726e+09    1.02262e+14
            309     1.3946e+09    1.02303e+14
          309.5    1.40197e+09    1.02343e+14
            310    1.40937e+09    1.02384e+14
          310.5     1.4168e+09    1.02424e+14
            311    1.42425e+09    1.02464e+14
          311.5    1.43174e+09    1.02504e+14
            312    1.43925e+09    1.02544e+14
          312.5    1.44679e+09    1.02584e+14
            313    1.45435e+09    1.02623e+14
          313.5    1.46195e+09    1.02663e+14
            314    1.46957e+09    1.02702e+14
          314.5    1.47722e+09    1.02742e+14
            315    1.48491e+09    1.02781e+14
          315.5    1.49261e+09     1.0282e+14
            316    1.50035e+09    1.02859e+14
          316.5    1.50812e+09    1.02898e+14
            317    1.51591e+09    1.02937e+14
          317.5    1.52374e+09    1.02976e+14
            318    1.53159e+09    1.03014e+14
          318.5    1.53947e+09    1.03053e+14
            319    1.54738e+09    1.03091e+14
          319.5    1.55532e+09    1.03129e+14
            320    1.56329e+09    1.03168e+14
          320.5    1.57129e+09    1.03206e+14
            321    1.57931e+09    1.03244e+14
          321.5    1.58737e+09    1.03282e+14
            322    1.59545e+09    1.03319e+14
          322.5    1.60357e+09    1.03357e+14
            323    1.61171e+09    1.03395e+14
          323.5    1.61988e+09    1.03432e+14
            324    1.62809e+09     1.0347e+14
          324.5    1.63632e+09    1.03507e+14
